Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration (uM),Primary Target,Pathway,Mean Normalized Growth Rate Inhibition Value,Increased Fraction Dead
50211-2,HCC1806,10142-101-1,Trametinib,0.031623,MEK,MAPK/nRTK,0.8318,0.04358
50211-2,HCC1806,10142-101-1,Trametinib,0.1,MEK,MAPK/nRTK,0.7512,0.04449
50211-2,HCC1806,10142-101-1,Trametinib,0.31623,MEK,MAPK/nRTK,0.7036,0.06176
50211-2,HCC1806,10142-101-1,Trametinib,1.0,MEK,MAPK/nRTK,0.8139,0.03787
50211-2,HCC1806,10032-101-1,Saracatinib,0.001,SRC,MAPK/nRTK,1.0566,-0.00099
50211-2,HCC1806,10032-101-1,Saracatinib,0.0031623,SRC,MAPK/nRTK,0.9414,0.00576
50211-2,HCC1806,10032-101-1,Saracatinib,0.01,SRC,MAPK/nRTK,0.9979,0.00123
50211-2,HCC1806,10032-101-1,Saracatinib,0.031623,SRC,MAPK/nRTK,0.9628,0.01339
50211-2,HCC1806,10032-101-1,Saracatinib,0.1,SRC,MAPK/nRTK,0.8122,0.03066
50211-2,HCC1806,10032-101-1,Saracatinib,0.31623,SRC,MAPK/nRTK,0.8002,0.05058
50211-2,HCC1806,10032-101-1,Saracatinib,1.0,SRC,MAPK/nRTK,0.5483,0.07837
50211-2,HCC1806,10032-101-1,Saracatinib,3.1623,SRC,MAPK/nRTK,0.4325,0.11326
50211-2,HCC1806,10032-101-1,Saracatinib,10.0,SRC,MAPK/nRTK,0.2213,0.14013
50211-2,HCC1806,10179-101-1,ABT-737,0.001,Bcl2/XL,Misc,1.0427,-0.00094
50211-2,HCC1806,10179-101-1,ABT-737,0.0031623,Bcl2/XL,Misc,1.0420,0.00490
50211-2,HCC1806,10179-101-1,ABT-737,0.01,Bcl2/XL,Misc,1.0592,-0.00309
50211-2,HCC1806,10179-101-1,ABT-737,0.031623,Bcl2/XL,Misc,1.0731,-0.00052
50211-2,HCC1806,10179-101-1,ABT-737,0.1,Bcl2/XL,Misc,1.1723,-0.00198
50211-2,HCC1806,10179-101-1,ABT-737,0.31623,Bcl2/XL,Misc,1.2119,-0.00429
50211-2,HCC1806,10179-101-1,ABT-737,1.0,Bcl2/XL,Misc,1.2575,-0.00552
50211-2,HCC1806,10179-101-1,ABT-737,3.1623,Bcl2/XL,Misc,1.1888,0.00960
50211-2,HCC1806,10179-101-1,ABT-737,10.0,Bcl2/XL,Misc,0.7293,0.12622
50211-2,HCC1806,10282-101-2,Vorinostat,0.001,HDAC,Misc,1.0136,-0.00693
50211-2,HCC1806,10282-101-2,Vorinostat,0.0031623,HDAC,Misc,1.0396,-0.00386
50211-2,HCC1806,10282-101-2,Vorinostat,0.01,HDAC,Misc,1.0312,-0.00004
50211-2,HCC1806,10282-101-2,Vorinostat,0.031623,HDAC,Misc,1.0082,-0.00167
50211-2,HCC1806,10282-101-2,Vorinostat,0.1,HDAC,Misc,0.9246,0.00705
50211-2,HCC1806,10282-101-2,Vorinostat,0.31623,HDAC,Misc,0.8452,0.01588
50211-2,HCC1806,10282-101-2,Vorinostat,1.0,HDAC,Misc,0.5599,0.05417
50211-2,HCC1806,10282-101-2,Vorinostat,3.1623,HDAC,Misc,0.1581,0.17812
50211-2,HCC1806,10282-101-2,Vorinostat,10.0,HDAC,Misc,0.0178,0.19873
50211-2,HCC1806,10161-101-1,Luminespib,0.0001,HSP90,Misc,1.0518,-0.00289
50211-2,HCC1806,10161-101-1,Luminespib,0.00031623,HSP90,Misc,0.9805,0.00293
50211-2,HCC1806,10161-101-1,Luminespib,0.001,HSP90,Misc,1.0670,-0.00065
50211-2,HCC1806,10161-101-1,Luminespib,0.0031623,HSP90,Misc,1.0288,-0.00478
50211-2,HCC1806,10161-101-1,Luminespib,0.01,HSP90,Misc,0.5586,0.11289
50211-2,HCC1806,10161-101-1,Luminespib,0.031623,HSP90,Misc,-0.0692,0.36562
50211-2,HCC1806,10161-101-1,Luminespib,0.1,HSP90,Misc,-0.1502,0.44524
50211-2,HCC1806,10161-101-1,Luminespib,0.31623,HSP90,Misc,-0.1663,0.45752
50211-2,HCC1806,10161-101-1,Luminespib,1.0,HSP90,Misc,-0.1751,0.47227
50211-2,HCC1806,10478-102-1,A-1210477,0.001,Mcl-1,Misc,0.9844,-0.00747
50211-2,HCC1806,10478-102-1,A-1210477,0.0031623,Mcl-1,Misc,1.0324,-0.00234
50211-2,HCC1806,10478-102-1,A-1210477,0.01,Mcl-1,Misc,0.9898,0.00630
50211-2,HCC1806,10478-102-1,A-1210477,0.031623,Mcl-1,Misc,0.9977,0.00363
50211-2,HCC1806,10478-102-1,A-1210477,0.1,Mcl-1,Misc,0.9950,0.00255
50211-2,HCC1806,10478-102-1,A-1210477,0.31623,Mcl-1,Misc,1.0678,-0.00565
50211-2,HCC1806,10478-102-1,A-1210477,1.0,Mcl-1,Misc,1.0685,0.00202
50211-2,HCC1806,10478-102-1,A-1210477,3.1623,Mcl-1,Misc,1.0029,-0.00692
50211-2,HCC1806,10478-102-1,A-1210477,10.0,Mcl-1,Misc,0.9047,0.02127
50211-2,HCC1806,10144-101-3,Olaparib,0.001,PARP,Misc,0.9723,0.00706
50211-2,HCC1806,10144-101-3,Olaparib,0.0031623,PARP,Misc,0.9575,0.01003
50211-2,HCC1806,10144-101-3,Olaparib,0.01,PARP,Misc,0.9903,0.00626
50211-2,HCC1806,10144-101-3,Olaparib,0.031623,PARP,Misc,0.9928,0.00514
50211-2,HCC1806,10144-101-3,Olaparib,0.1,PARP,Misc,0.9821,0.00980
50211-2,HCC1806,10144-101-3,Olaparib,0.31623,PARP,Misc,0.8612,0.01429
50211-2,HCC1806,10144-101-3,Olaparib,1.0,PARP,Misc,0.9054,0.01713
50211-2,HCC1806,10144-101-3,Olaparib,3.1623,PARP,Misc,0.8180,0.02674
50211-2,HCC1806,10144-101-3,Olaparib,10.0,PARP,Misc,0.4886,0.10512
50211-2,HCC1806,10482-114-1,Bleomycin,0.0010833,Radiation,Misc,1.0353,-0.00052
50211-2,HCC1806,10482-114-1,Bleomycin,0.0033333,Radiation,Misc,1.0827,0.00123
50211-2,HCC1806,10482-114-1,Bleomycin,0.01,Radiation,Misc,0.9790,0.00847
50211-2,HCC1806,10482-114-1,Bleomycin,0.031667,Radiation,Misc,0.9767,0.01401
50211-2,HCC1806,10482-114-1,Bleomycin,0.1,Radiation,Misc,1.0283,0.00115
50211-2,HCC1806,10482-114-1,Bleomycin,0.31623,Radiation,Misc,0.8449,0.01614
50211-2,HCC1806,10482-114-1,Bleomycin,1.0,Radiation,Misc,0.7704,0.03520
50211-2,HCC1806,10482-114-1,Bleomycin,3.1623,Radiation,Misc,0.6374,0.05149
50211-2,HCC1806,10482-114-1,Bleomycin,10.0,Radiation,Misc,0.4813,0.10036
50211-2,HCC1806,10338-101-1,Ipatasertib,0.001,AKT,PI3K/mTOR,0.9472,-0.00031
50211-2,HCC1806,10338-101-1,Ipatasertib,0.0031623,AKT,PI3K/mTOR,1.0171,-0.00556
50211-2,HCC1806,10338-101-1,Ipatasertib,0.01,AKT,PI3K/mTOR,0.9750,0.00451
50211-2,HCC1806,10338-101-1,Ipatasertib,0.031623,AKT,PI3K/mTOR,0.9999,-0.00551
50211-2,HCC1806,10338-101-1,Ipatasertib,0.1,AKT,PI3K/mTOR,1.0178,-0.00290
50211-2,HCC1806,10338-101-1,Ipatasertib,0.31623,AKT,PI3K/mTOR,0.9726,-0.00130
50211-2,HCC1806,10338-101-1,Ipatasertib,1.0,AKT,PI3K/mTOR,1.0055,-0.00454
50211-2,HCC1806,10338-101-1,Ipatasertib,3.1623,AKT,PI3K/mTOR,0.9502,-0.00032
50211-2,HCC1806,10338-101-1,Ipatasertib,10.0,AKT,PI3K/mTOR,0.9450,-0.00218
50211-2,HCC1806,10233-101-1,Alpelisib,0.001,PI3Ka,PI3K/mTOR,0.9949,-0.00435
50211-2,HCC1806,10233-101-1,Alpelisib,0.0031623,PI3Ka,PI3K/mTOR,1.0240,0.00564
50211-2,HCC1806,10233-101-1,Alpelisib,0.01,PI3Ka,PI3K/mTOR,0.9729,0.00377
50211-2,HCC1806,10233-101-1,Alpelisib,0.031623,PI3Ka,PI3K/mTOR,1.0199,0.00068
50211-2,HCC1806,10233-101-1,Alpelisib,0.1,PI3Ka,PI3K/mTOR,0.9909,0.00150
50211-2,HCC1806,10233-101-1,Alpelisib,0.31623,PI3Ka,PI3K/mTOR,0.9494,0.00073
50211-2,HCC1806,10233-101-1,Alpelisib,1.0,PI3Ka,PI3K/mTOR,0.9884,0.00158
50211-2,HCC1806,10233-101-1,Alpelisib,3.1623,PI3Ka,PI3K/mTOR,0.8853,0.01047
50211-2,HCC1806,10233-101-1,Alpelisib,10.0,PI3Ka,PI3K/mTOR,0.7260,0.01759
50211-2,HCC1806,10445-101-1,Taselisib,0.001,"PI3Ka, g, d",PI3K/mTOR,1.0144,-0.00169
50211-2,HCC1806,10445-101-1,Taselisib,0.0031623,"PI3Ka, g, d",PI3K/mTOR,1.0056,0.00257
50211-2,HCC1806,10445-101-1,Taselisib,0.01,"PI3Ka, g, d",PI3K/mTOR,0.9779,-0.00163
50211-2,HCC1806,10445-101-1,Taselisib,0.031623,"PI3Ka, g, d",PI3K/mTOR,0.8712,0.02222
50211-2,HCC1806,10445-101-1,Taselisib,0.1,"PI3Ka, g, d",PI3K/mTOR,0.7930,0.02340
50211-2,HCC1806,10445-101-1,Taselisib,0.31623,"PI3Ka, g, d",PI3K/mTOR,0.7953,0.03517
50211-2,HCC1806,10445-101-1,Taselisib,1.0,"PI3Ka, g, d",PI3K/mTOR,0.5970,0.05851
50211-2,HCC1806,10445-101-1,Taselisib,3.1623,"PI3Ka, g, d",PI3K/mTOR,0.4011,0.10718
50211-2,HCC1806,10445-101-1,Taselisib,10.0,"PI3Ka, g, d",PI3K/mTOR,-0.0297,0.29879
50211-2,HCC1806,10171-101-1,TGX221,0.001,PI3Kb,PI3K/mTOR,1.0544,0.00368
50211-2,HCC1806,10171-101-1,TGX221,0.0031623,PI3Kb,PI3K/mTOR,1.0251,0.00072
50211-2,HCC1806,10171-101-1,TGX221,0.01,PI3Kb,PI3K/mTOR,1.0814,-0.00181
50211-2,HCC1806,10171-101-1,TGX221,0.031623,PI3Kb,PI3K/mTOR,1.0165,0.00477
50211-2,HCC1806,10171-101-1,TGX221,0.1,PI3Kb,PI3K/mTOR,0.9502,0.00647
50211-2,HCC1806,10171-101-1,TGX221,0.31623,PI3Kb,PI3K/mTOR,0.9951,0.00969
50211-2,HCC1806,10171-101-1,TGX221,1.0,PI3Kb,PI3K/mTOR,1.0527,0.00379
50211-2,HCC1806,10171-101-1,TGX221,3.1623,PI3Kb,PI3K/mTOR,1.0207,-0.00297
50211-2,HCC1806,10171-101-1,TGX221,10.0,PI3Kb,PI3K/mTOR,0.9819,0.00736
50211-2,HCC1806,10080-101-1,Torin2,0.0001,mTOR/ATM/ATR,PI3K/mTOR,1.0343,-0.00199
50211-2,HCC1806,10080-101-1,Torin2,0.00031623,mTOR/ATM/ATR,PI3K/mTOR,0.9399,0.00840
50211-2,HCC1806,10080-101-1,Torin2,0.001,mTOR/ATM/ATR,PI3K/mTOR,0.9960,-0.00157
50211-2,HCC1806,10080-101-1,Torin2,0.0031623,mTOR/ATM/ATR,PI3K/mTOR,1.0012,-0.00204
50211-2,HCC1806,10080-101-1,Torin2,0.01,mTOR/ATM/ATR,PI3K/mTOR,0.7502,0.01638
50211-2,HCC1806,10080-101-1,Torin2,0.031623,mTOR/ATM/ATR,PI3K/mTOR,0.5414,0.05114
50211-2,HCC1806,10080-101-1,Torin2,0.1,mTOR/ATM/ATR,PI3K/mTOR,0.1989,0.16033
50211-2,HCC1806,10080-101-1,Torin2,0.31623,mTOR/ATM/ATR,PI3K/mTOR,0.0241,0.27795
50211-2,HCC1806,10080-101-1,Torin2,1.0,mTOR/ATM/ATR,PI3K/mTOR,-0.1402,0.39541
50211-2,HCC1806,10235-101-1,Everolimus,0.001,mTOR1,PI3K/mTOR,0.7828,0.01087
50211-2,HCC1806,10235-101-1,Everolimus,0.0031623,mTOR1,PI3K/mTOR,0.8007,0.00711
50211-2,HCC1806,10235-101-1,Everolimus,0.01,mTOR1,PI3K/mTOR,0.7914,0.00620
50211-2,HCC1806,10235-101-1,Everolimus,0.031623,mTOR1,PI3K/mTOR,0.8058,-0.00145
50211-2,HCC1806,10235-101-1,Everolimus,0.1,mTOR1,PI3K/mTOR,0.7066,0.00263
50211-2,HCC1806,10235-101-1,Everolimus,0.31623,mTOR1,PI3K/mTOR,0.8440,-0.00381
50211-2,HCC1806,10235-101-1,Everolimus,1.0,mTOR1,PI3K/mTOR,0.8179,-0.00356
50211-2,HCC1806,10235-101-1,Everolimus,3.1623,mTOR1,PI3K/mTOR,0.8168,-0.00407
50211-2,HCC1806,10235-101-1,Everolimus,10.0,mTOR1,PI3K/mTOR,0.8953,-0.01004
50211-2,HCC1806,10205-101-1,INK-128,0.00031623,mTORC1/2,PI3K/mTOR,0.8966,0.00900
50211-2,HCC1806,10205-101-1,INK-128,0.001,mTORC1/2,PI3K/mTOR,0.9546,0.00204
50211-2,HCC1806,10205-101-1,INK-128,0.0031623,mTORC1/2,PI3K/mTOR,0.8982,0.00402
50211-2,HCC1806,10205-101-1,INK-128,0.01,mTORC1/2,PI3K/mTOR,0.7903,-0.00011
50211-2,HCC1806,10205-101-1,INK-128,0.031623,mTORC1/2,PI3K/mTOR,0.5319,0.03933
50211-2,HCC1806,10205-101-1,INK-128,0.1,mTORC1/2,PI3K/mTOR,0.4206,0.04042
50211-2,HCC1806,10205-101-1,INK-128,0.31623,mTORC1/2,PI3K/mTOR,0.3706,0.06159
50211-2,HCC1806,10205-101-1,INK-128,1.0,mTORC1/2,PI3K/mTOR,0.3388,0.06069
50211-2,HCC1806,10205-101-1,INK-128,3.1623,mTORC1/2,PI3K/mTOR,0.2620,0.10078
50211-2,HCC1806,10404-101-1,PF-4708671,0.001,p70S6K,PI3K/mTOR,1.0152,0.00592
50211-2,HCC1806,10404-101-1,PF-4708671,0.0031623,p70S6K,PI3K/mTOR,1.0299,0.00621
50211-2,HCC1806,10404-101-1,PF-4708671,0.01,p70S6K,PI3K/mTOR,0.9556,0.00302
50211-2,HCC1806,10404-101-1,PF-4708671,0.031623,p70S6K,PI3K/mTOR,1.0289,0.00535
50211-2,HCC1806,10404-101-1,PF-4708671,0.1,p70S6K,PI3K/mTOR,1.0369,-0.00429
50211-2,HCC1806,10404-101-1,PF-4708671,0.31623,p70S6K,PI3K/mTOR,1.0125,0.00535
50211-2,HCC1806,10404-101-1,PF-4708671,1.0,p70S6K,PI3K/mTOR,1.0192,-0.00999
50211-2,HCC1806,10404-101-1,PF-4708671,3.1623,p70S6K,PI3K/mTOR,1.1503,-0.01604
50211-2,HCC1806,10404-101-1,PF-4708671,10.0,p70S6K,PI3K/mTOR,1.2045,-0.02488
50211-2,HCC1806,10147-101-1,Buparlisib,0.001,pan PI3K,PI3K/mTOR,0.9469,0.00201
50211-2,HCC1806,10147-101-1,Buparlisib,0.0031623,pan PI3K,PI3K/mTOR,0.9890,0.00172
50211-2,HCC1806,10147-101-1,Buparlisib,0.01,pan PI3K,PI3K/mTOR,1.0201,0.00194
50211-2,HCC1806,10147-101-1,Buparlisib,0.031623,pan PI3K,PI3K/mTOR,1.0031,0.00148
50211-2,HCC1806,10147-101-1,Buparlisib,0.1,pan PI3K,PI3K/mTOR,0.9540,0.00375
50211-2,HCC1806,10147-101-1,Buparlisib,0.31623,pan PI3K,PI3K/mTOR,0.8857,0.00696
50211-2,HCC1806,10147-101-1,Buparlisib,1.0,pan PI3K,PI3K/mTOR,0.5541,0.08134
50211-2,HCC1806,10147-101-1,Buparlisib,3.1623,pan PI3K,PI3K/mTOR,-0.1855,0.49892
50211-2,HCC1806,10147-101-1,Buparlisib,10.0,pan PI3K,PI3K/mTOR,-0.2692,0.52421
50211-2,HCC1806,10047-101-1,Pictilisib,0.001,pan PI3K,PI3K/mTOR,0.9358,-0.00015
50211-2,HCC1806,10047-101-1,Pictilisib,0.0031623,pan PI3K,PI3K/mTOR,0.9749,0.00556
50211-2,HCC1806,10047-101-1,Pictilisib,0.01,pan PI3K,PI3K/mTOR,1.0206,-0.00005
50211-2,HCC1806,10047-101-1,Pictilisib,0.031623,pan PI3K,PI3K/mTOR,0.9723,0.00018
